_link,_link_releases,_link_releases_contracts,_link_main,id,description,quantity,classification_scheme,classification_id,classification_description,unit_id,unit_name,unit_value_amount,unit_value_currency
0.releases.3428.contracts.0.items.583,0.releases.3428,0.releases.3428.contracts.0,0,306600ea-982f-4e91-994e-f59dd3319fca,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406111,"Car or truck insurance,GR962 E/ISUZU",2427817,RWF
0.releases.3428.contracts.0.items.584,0.releases.3428,0.releases.3428.contracts.0,0,18e01862-6a66-4b09-9c53-1e72eb3f6d5f,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406111,"Car or truck insurance,GR962 E/ISUZU",2427817,RWF
0.releases.3428.contracts.0.items.585,0.releases.3428,0.releases.3428.contracts.0,0,6197f179-493e-42ea-b157-36196ea57a97,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406112,"Car or truck insurance,GR 284 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.586,0.releases.3428,0.releases.3428.contracts.0,0,c8de1b6a-d038-42c8-86c9-97d580999927,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406112,"Car or truck insurance,GR 284 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.587,0.releases.3428,0.releases.3428.contracts.0,0,a82f52a0-180f-48dd-8e8e-648faa7cebe7,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406112,"Car or truck insurance,GR 284 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.588,0.releases.3428,0.releases.3428.contracts.0,0,8f3306d3-9469-4e77-a53c-4d66b7349af6,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406112,"Car or truck insurance,GR 284 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.589,0.releases.3428,0.releases.3428.contracts.0,0,908c14f4-24e4-4bf2-bd23-e5b7cb868423,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406112,"Car or truck insurance,GR 284 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.590,0.releases.3428,0.releases.3428.contracts.0,0,0e55a2dd-c83e-43ac-b67b-852c8ac16896,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406113,"Car or truck insurance,GR 285 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.591,0.releases.3428,0.releases.3428.contracts.0,0,72b09649-51d8-4bb9-bd5d-481f23504772,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406113,"Car or truck insurance,GR 285 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.592,0.releases.3428,0.releases.3428.contracts.0,0,b30cbdd9-5eb5-42d7-8f6e-a40dca30f08d,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406113,"Car or truck insurance,GR 285 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.593,0.releases.3428,0.releases.3428.contracts.0,0,bf50ad08-07a4-4ff4-b0cb-7df43727e741,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406113,"Car or truck insurance,GR 285 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.594,0.releases.3428,0.releases.3428.contracts.0,0,0eef344c-0ced-40d0-831f-0c40e29d7c8d,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406113,"Car or truck insurance,GR 285 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.595,0.releases.3428,0.releases.3428.contracts.0,0,be76207b-9e1b-4a78-a0e2-f7123fa74421,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406114,"Car or truck insurance,GR 286 E/TOYOTA HILUX",1989679,RWF
0.releases.3428.contracts.0.items.596,0.releases.3428,0.releases.3428.contracts.0,0,b16ccb7c-8bb2-4ae4-bae1-b28436e036a6,Car or truck insurance,1,UNSPSC,84131503,Car or truck insurance,10406114,"Car or truck insurance,GR 286 E/TOYOTA HILUX",1989679,RWF
